instance,testbed,family,z_ref,ref_status,proven,gap_ks-full,obj_ks-full,gap_ks-cg,obj_ks-cg,gap_fks-cg,obj_fks-cg
p1000-1000-57,Test Bed B,1000x1000,97768.1953,Proven Optimal,True,,,,,,
p1000-1000-58,Test Bed B,1000x1000,99664.73382,Proven Optimal,True,,,,,,
p1000-1000-59,Test Bed B,1000x1000,105538.17947,Proven Optimal,True,,,,,,
p1000-1000-60,Test Bed B,1000x1000,100207.56922,Proven Optimal,True,,,,,,
p1000-4000-31,Test Bed B,1000x4000,1168212.08808,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-32,Test Bed B,1000x4000,1148442.83092,Proven Optimal,True,,,,,,
p1000-4000-33,Test Bed B,1000x4000,1133833.12952,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-34,Test Bed B,1000x4000,1100116.25269,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-35,Test Bed B,1000x4000,1178795.41321,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-36,Test Bed B,1000x4000,755639.73759,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-37,Test Bed B,1000x4000,737825.84701,Best Known (Limit Exceeded),False,,,,,,
p1000-4000-38,Test Bed B,1000x4000,746010.75222,Best Known (Limit Exceeded),False,,,,,,
